Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
66,3.0,0.0,0.0,494.0,6.0,63.0,4398.0,0.1,43.306999999999995,0.0,0.0,1034.979679107666,,,,,,,,,,,,,,,,,,,,,15.941915555087768,14.334753160501876,42.3873917160699,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,537.0,7.0,43.0,4441.0,0.1,21.50600000000002,0.0,0.0,1039.360288143158,,,,,,,,,,,,,,,,,,,,,6.657230760167899,7.026197236750674,21.26224229966982,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,624.0,8.0,87.0,4528.0,0.1,67.40599999999998,0.0,0.0,1047.7103552818298,,,,,,,,,,,,,,,,,,,,,26.863627028387715,21.64289253103749,65.19919764462186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,813.0,9.0,189.0,4717.0,0.1,128.606,0.0,0.0,1065.1207010746002,,,,,,,,,,,,,,,,,,,,,55.95337266203251,35.23315657230292,118.2672287571615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,940.0,10.0,127.0,4844.0,0.1,87.50600000000003,0.0,0.0,1076.9357731342316,,,,,,,,,,,,,,,,,,,,,35.55137913102027,24.301895124448954,83.15720610536508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,984.0,11.0,44.0,4888.0,0.1,23.007000000000023,0.0,0.0,1081.4916641712189,,,,,,,,,,,,,,,,,,,,,7.1153458557206966,7.6573617540302825,22.739380804576637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1022.0,12.0,38.0,4926.0,0.1,22.206000000000017,0.0,0.0,1085.428616285324,,,,,,,,,,,,,,,,,,,,,7.493993750101512,7.598019488528197,21.965136545450502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1152.0,13.0,130.0,5056.0,0.1,89.107,0.0,0.0,1097.5448055267334,,,,,,,,,,,,,,,,,,,,,34.8343949277157,25.500790623444612,84.74793979103924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1360.0,14.0,208.0,5264.0,0.1,128.50699999999975,0.0,0.0,1116.333355665207,,,,,,,,,,,,,,,,,,,,,53.9190947922874,32.32489782445447,117.52676428501003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1401.0,15.0,41.0,5305.0,0.1,25.206000000000017,0.0,0.0,1120.6250183582306,,,,,,,,,,,,,,,,,,,,,8.767310011021015,8.599200516282668,24.896308009258647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1444.0,16.0,43.0,5348.0,0.1,22.008000000000024,0.0,0.0,1125.1234097480774,,,,,,,,,,,,,,,,,,,,,6.627911481022875,7.378274533999901,21.76651106192881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1556.0,17.0,112.0,5460.0,0.1,68.106,0.0,0.0,1135.5117499828339,,,,,,,,,,,,,,,,,,,,,28.009843287994578,19.42486894787905,65.0990305137416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
